date_time,pm25,pm10,o3,co,no2,so2,station
2019-03-01 0:00,33,53,27,0.02,7,-,08t
2019-03-01 1:00,27,48,26,0.02,9,-,08t
2019-03-01 2:00,32,51,23,0.03,12,-,08t
2019-03-01 3:00,28,54,19,0.06,14,-,08t
2019-03-01 4:00,30,56,12,0.04,20,-,08t
2019-03-01 5:00,38,53,7,0.11,26,1,08t
2019-03-01 6:00,44,61,12,0.12,24,1,08t
2019-03-01 7:00,46,67,-,-,-,-,08t
2019-03-01 8:00,41,68,28,0.07,11,2,08t
2019-03-01 9:00,40,58,35,0.05,4,1,08t
2019-03-01 10:00,33,62,36,0.04,4,1,08t
2019-03-01 11:00,33,55,35,0.03,8,2,08t
2019-03-01 12:00,34,52,35,0.02,3,1,08t
2019-03-01 13:00,31,53,38,0.02,4,1,08t
2019-03-01 14:00,28,45,37,0.02,4,1,08t
2019-03-01 15:00,31,51,37,0.01,4,1,08t
2019-03-01 16:00,32,51,33,0.03,7,1,08t
2019-03-01 17:00,29,53,24,0.05,13,1,08t
2019-03-01 18:00,34,56,18,0.08,17,1,08t
2019-03-01 19:00,34,54,13,0.08,24,2,08t
2019-03-01 20:00,37,57,14,0.06,22,1,08t
2019-03-01 21:00,36,53,12,0.08,21,1,08t
2019-03-01 22:00,34,57,14,0.07,20,1,08t
2019-03-01 23:00,37,60,14,0.04,20,1,08t
2019-03-02 0:00,32,59,20,0.05,14,-,08t
2019-03-02 1:00,34,53,25,0.04,10,-,08t
2019-03-02 2:00,32,54,23,0.05,12,-,08t
2019-03-02 3:00,36,63,26,0.05,11,-,08t
2019-03-02 4:00,40,56,27,0.06,13,-,08t
2019-03-02 5:00,48,71,23,0.06,15,1,08t
2019-03-02 6:00,44,67,-,-,-,-,08t
2019-03-02 7:00,50,67,23,0.14,18,2,08t
2019-03-02 8:00,49,67,29,0.08,11,2,08t
2019-03-02 9:00,40,62,33,0.06,6,1,08t
2019-03-02 10:00,40,62,37,0.06,4,1,08t
2019-03-02 11:00,37,59,40,0.05,4,-,08t
2019-03-02 12:00,35,57,36,0.02,3,1,08t
2019-03-02 13:00,34,56,39,0.03,1,1,08t
2019-03-02 14:00,32,57,38,0.03,2,1,08t
2019-03-02 15:00,34,59,37,0.05,4,1,08t
2019-03-02 16:00,33,59,35,0.04,6,1,08t
2019-03-02 17:00,40,57,28,0.09,6,1,08t
2019-03-02 18:00,34,59,24,0.06,13,1,08t
2019-03-02 19:00,39,57,21,0.06,15,2,08t
2019-03-02 20:00,36,64,24,0.07,10,1,08t
2019-03-02 21:00,34,60,25,0.05,9,1,08t
2019-03-02 22:00,31,63,28,0.03,6,1,08t
